game_date,game_pk,bp_batters_faced,bp_strikeouts,bp_walks,bp_swings,bp_whiffs,bp_pitches,team,bp_K_pct,bp_BB_pct,bp_whiff_pct
2025-04-12,778353,20,2,3,45,12,94,ATL,0.1,0.15,0.26666666666666666
2025-04-13,778340,15,5,1,36,8,72,ATL,0.3333333333333333,0.06666666666666667,0.2222222222222222
2025-04-14,778322,7,2,0,17,3,26,ATL,0.2857142857142857,0.0,0.17647058823529413
2025-04-15,778311,11,2,1,30,3,60,ATL,0.18181818181818182,0.09090909090909091,0.1
2025-04-16,778297,12,2,3,24,6,59,ATL,0.16666666666666666,0.25,0.25
2025-04-18,778284,12,1,0,25,2,50,ATL,0.08333333333333333,0.0,0.08
2025-04-19,778267,16,5,1,39,12,78,ATL,0.3125,0.0625,0.3076923076923077
2025-04-20,778249,12,3,0,20,8,46,ATL,0.25,0.0,0.4
2025-04-21,778233,10,1,2,15,2,36,ATL,0.1,0.2,0.13333333333333333
2025-04-22,778229,32,7,3,66,16,139,ATL,0.21875,0.09375,0.24242424242424243
2025-04-23,778214,12,3,1,25,5,49,ATL,0.25,0.08333333333333333,0.2
2025-04-25,778177,17,4,3,28,3,71,ATL,0.23529411764705882,0.17647058823529413,0.10714285714285714
2025-04-26,778162,15,4,2,28,9,57,ATL,0.26666666666666666,0.13333333333333333,0.32142857142857145
2025-04-27,778147,10,1,1,21,4,49,ATL,0.1,0.1,0.19047619047619047
2025-04-28,778137,12,3,1,23,7,47,ATL,0.25,0.08333333333333333,0.30434782608695654
2025-04-29,778120,13,2,1,22,7,49,ATL,0.15384615384615385,0.07692307692307693,0.3181818181818182
2025-04-30,778102,3,2,0,8,5,14,ATL,0.6666666666666666,0.0,0.625
2025-05-02,778092,9,2,1,17,5,41,ATL,0.2222222222222222,0.1111111111111111,0.29411764705882354
2025-05-03,778076,23,8,3,38,8,97,ATL,0.34782608695652173,0.13043478260869565,0.21052631578947367
2025-05-04,778060,15,6,0,35,13,71,ATL,0.4,0.0,0.37142857142857144
2025-05-05,778049,4,1,1,8,2,19,ATL,0.25,0.25,0.25
2025-05-06,778034,13,7,1,24,9,56,ATL,0.5384615384615384,0.07692307692307693,0.375
2025-05-07,778023,12,4,1,21,5,53,ATL,0.3333333333333333,0.08333333333333333,0.23809523809523808
2025-05-08,778003,22,5,2,36,13,81,ATL,0.22727272727272727,0.09090909090909091,0.3611111111111111
2025-05-09,777998,6,4,0,13,6,27,ATL,0.6666666666666666,0.0,0.46153846153846156
2025-05-10,777985,23,3,3,29,5,80,ATL,0.13043478260869565,0.13043478260869565,0.1724137931034483
2025-05-11,777967,13,1,1,21,4,49,ATL,0.07692307692307693,0.07692307692307693,0.19047619047619047
2025-05-12,777959,13,4,1,22,9,53,ATL,0.3076923076923077,0.07692307692307693,0.4090909090909091
2025-05-13,777942,7,2,0,11,3,29,ATL,0.2857142857142857,0.0,0.2727272727272727
2025-05-14,777929,16,3,1,29,8,67,ATL,0.1875,0.0625,0.27586206896551724
2025-05-15,777909,12,0,1,18,3,38,ATL,0.0,0.08333333333333333,0.16666666666666666
2025-05-16,777908,9,2,1,17,5,38,ATL,0.2222222222222222,0.1111111111111111,0.29411764705882354
2025-05-17,777893,13,1,0,23,5,47,ATL,0.07692307692307693,0.0,0.21739130434782608
2025-05-18,777876,8,2,0,14,4,32,ATL,0.25,0.0,0.2857142857142857
2025-05-20,777841,16,1,3,23,4,51,ATL,0.0625,0.1875,0.17391304347826086
2025-05-22,777820,26,5,2,49,14,87,ATL,0.19230769230769232,0.07692307692307693,0.2857142857142857
2025-05-23,777813,8,2,1,14,4,36,ATL,0.25,0.125,0.2857142857142857
2025-05-24,777803,9,0,3,11,3,30,ATL,0.0,0.3333333333333333,0.2727272727272727
